Done1.
notepad.exe analyzing.. 
['SBB', 'BOUND', 'MOV', 'STC']
['CMP', 'AAS', 'ADD', 'IMUL']
['ADC', 'JNS', 'ADC', 'POPF']
['MOV', 'SCASB', 'JNP', 'JNO']
['CALL', 'TEST', 'JS', 'XOR']
['DB', 'JBE', 'RET', 'OUTS']
['JS', 'POP', 'MOV', 'ADC']
['IN', 'OUT', 'OUT', 'OUT']
['CDQ', 'MOV', 'AAA', 'SBB']
['INS', 'CMP', 'MOV', 'FUCOMI']
['MOV', 'DB', 'DAS', 'FSTP']
['ROR', 'RETF', 'MOV', 'JLE']
['INC', 'ADD', 'MOVSB', 'DB']
['POPF', 'OUTS', 'DEC', 'POPF']
['SAR', 'MOV', 'MOV', 'MOVSB']
['DEC', 'ADD', 'INC', 'POP']
['TEST', 'CMP', 'AND', 'JO']
['JMP', 'DB', 'JMP', 'XCHG']
['SAHF', 'SBB', 'MOV', 'CMP']
['AAD', 'JNS', 'DAS', 'CLC']
['OUTS', 'CWDE', 'TEST', 'JNS']
['MOV', 'ADD', 'MOV', 'IMUL']
['JL', 'JNZ', 'ADD', 'ADD']
['ADD', 'ADD', 'JS', 'ADD']
['OUTS', 'ARPL', 'PUSH', 'OUTS']
['XCHG', 'OUT', 'PUSH', 'XCHG']
['XCHG', 'PUSHF', 'XCHG', 'MOV']
['ADD', 'ADD', 'JLE', 'OUT']
['SUB', 'PUSH', 'SBB', 'MOV']
['MOV', 'CLC', 'JECXZ', 'ADD']
['LAHF', 'SUB', 'CMP', 'MOV']
['ADD', 'DEC', 'CMOVZ', 'DEC']
['ADD', 'OUT', 'ADD', 'OUT']
['CDQ', 'CMP', 'STOSB', 'ADD']
['SBB', 'PUSH', 'LOOPNZ', 'OR']
['JLE', 'RCL', 'JO', 'PUSH']
['CMP', 'DEC', 'ADD', 'CMP']
['XOR', 'JMP', 'MOV', 'CMP']
['OUT', 'NEG', 'SBB', 'POP']
['INS', 'INC', 'MOV', 'INS']
['DEC', 'JNP', 'STD', 'MOV']
['PUSH', 'CMP', 'JMP', 'POP']
['OR', 'POP', 'IMUL', 'STOSD']
['DEC', 'SBB', 'SAL', 'SCASB']
['SBB', 'DEC', 'ADD', 'DEC']
['PUSH', 'JMP', 'JBE', 'JMP']
['SETNZ', 'MOV', 'JMP', 'DEC']
['XOR', 'XOR', 'CMP', 'DAS']
['DEC', 'IRET', 'LODSD', 'XCHG']
['ADD', 'MOVZX', 'INC', 'CMP']
['MOV', 'ADD', 'POP', 'ADD']
['LES', 'DEC', 'JMP', 'JGE']
['ADD', 'JLE', 'ADD', 'IMUL']
['JB', 'MOV', 'JS', 'JS']
['AAM', 'PUSH', 'STD', 'MOV']
['SBB', 'SUB', 'SBB', 'SUB']
['JZ', 'PUSH', 'IMUL', 'PUSH']
['DB', 'DB', 'JMP', 'PUSH']
['ADD', 'INC', 'MOV', 'PUSHA']
['DAS', 'INC', 'JMP', 'MOV']
['IRET', 'CLI', 'DEC', 'MOV']
['XCHG', 'DEC', 'IMUL', 'DEC']
['SCASD', 'DB', 'SUB', 'ADD']
['SUB', 'OUT', 'CMP', 'JB']
['JZ', 'TEST', 'OR', 'INTO']
['DEC', 'OUT', 'DEC', 'RCR']
['ADD', 'PUSH', 'XOR', 'IN']
['RETF', 'JB', 'MOV', 'STD']
['AND', 'XCHG', 'PUSH', 'DAA']
['SBB', 'IN', 'ADD', 'SUB']
['MOV', 'SUB', 'INC', 'SUB']
['ADD', 'HLT', 'CLC', 'ADD']
['JNP', 'XOR', 'CMP', 'CLD']
['ADD', 'JZ', 'JS', 'ADD']
['MOV', 'MOV', 'LOOPNZ', 'OUT']
['RET', 'MOV', 'PSUBB', 'DEC']
['INS', 'PUSH', 'JAE', 'TEST']
['MOVSD', 'PUSH', 'OUT', 'MOV']
['PUSH', 'PUSH', 'DB', 'MOV']
['FICOMP', 'ADD', 'WAIT', 'ADD']
['DEC', 'MOV', 'INC', 'MOV']
['CALL', 'TEST', 'JNZ', 'CALL']
['OUTS', 'XCHG', 'INTO', 'INC']
['SBB', 'LOOP', 'SAR', 'CLD']
['CALL', 'OR', 'POP', 'XOR']
['JAE', 'ADC', 'PUSH', 'SUB']
